mat,nom,prenom,email,genre,tel,day,status,referentiel,img
P6_DEVweb_2024_129,S0NE,BOUBA,dioop@gmail.com,M,7713973950,2024-04-15,Present,WEB,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P5_DEVweb_2094_129,kane,BOUBA,moussa@gmail.com,M,75999999,2024-04-13,Absent,AWS,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P5_DEVweb_2094_129,Rama,BOUBA,moussa@gmail.com,F,75999999,2024-04-10,Present,WEB,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P6_DEVweb_2094_129,Kane,Aba,moussa@gmail.com,M,75999999,2024-04-15,Absent,WEB,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P5_DEVDee_2024_129,SARE,DOUDOU,dou@gmail.com,M,78993956,09-05-2005,Present,DATA,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P6_DEVii_2024_129,DIAGNE,IBOU,ibou@gmail.com,M,764443956,2024-04-14,Absent,WEB,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P5_DEVDoi_2024_129,DIOP,BABACAR,diop@gmail.com,M,775003956,09-05-2005,Absent,WEB,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P6_DEVDoT_2024_629,GUEYE,ABDOU,guey@gmail.com,M,771383056,2024-04-14,Present,RefDig,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P5_DEVDAT_2024_029,DIENG,OUMY,diop@gmail.com,F,784440956,2024-04-15,Present,WEB,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P6_DEVREF_2024_729,KANE,MANSOUR,aly@gmail.com,M,771373956,2024-04-14,Present,DATA,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
P4_DEVDAT_2024_929,DIAGNE,MATAR,matar@gmail.com,M,771373956,2024-04-15,Present,RefDig,https://media.istockphoto.com/id/1369136607/fr/photo/%C3%A9tudiant-homme-noir-mill%C3%A9naire-positif-avec-des-livres-sur-le-jaune.jpg?s=612x612&w=0&k=20&c=JBRyjQLWN8sq5mYRWUqLAWkW8lMTvQewCa9CxsEp1Qo=
